EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
1,0.7857142857142857,No,Travel_Rarely,Sales,0.17857142857142858,2,Life Sciences,Female,1,Healthcare Representative,Married,0.7773604289062249,0.125,0.0,0,0.03571428571428571,1.0,0.05555555555555555,0.0,0.0,3.0,4.0,2.0,3,3
2,0.30952380952380953,Yes,Travel_Frequently,Research & Development,0.32142857142857145,1,Life Sciences,Female,1,Research Scientist,Single,0.20417990946739864,0.0,0.8571428571428571,1,0.21428571428571427,0.75,0.2777777777777778,0.14285714285714285,0.2857142857142857,3.0,2.0,4.0,2,4
3,0.3333333333333333,No,Travel_Frequently,Research & Development,0.5714285714285714,4,Other,Male,4,Sales Executive,Married,1.0,0.125,0.2857142857142857,3,0.17857142857142858,0.5,0.2777777777777778,0.0,0.21428571428571427,2.0,2.0,1.0,3,3
4,0.47619047619047616,No,Non-Travel,Research & Development,0.03571428571428571,5,Life Sciences,Male,3,Human Resources,Married,0.469485376737616,0.375,0.0,3,0.4642857142857143,1.0,0.4444444444444444,1.0,0.35714285714285715,4.0,4.0,3.0,2,3
5,0.3333333333333333,No,Travel_Rarely,Research & Development,0.32142857142857145,1,Medical,Male,1,Sales Executive,Single,0.08558862242768628,0.5,0.07142857142857142,2,0.32142857142857145,0.5,0.3333333333333333,0.0,0.2857142857142857,4.0,1.0,3.0,3,3
6,0.6666666666666666,No,Travel_Rarely,Research & Development,0.25,3,Life Sciences,Female,4,Research Director,Married,0.19660342226074673,0.375,0.14285714285714285,0,1.0,1.0,0.3888888888888889,1.0,0.5,3.0,2.0,2.0,3,3
7,0.23809523809523808,Yes,Travel_Rarely,Research & Development,0.35714285714285715,2,Medical,Male,2,Sales Executive,Single,0.3084529198369129,0.25,0.6428571428571429,1,0.17857142857142858,0.5,0.0,0.0,0.0,1.0,3.0,1.0,3,4
8,0.2619047619047619,No,Travel_Rarely,Research & Development,0.6071428571428571,3,Life Sciences,Male,2,Sales Executive,Married,0.13701884490673857,0.25,0.7857142857142857,3,0.35714285714285715,0.5,0.0,0.0,0.0,1.0,2.0,3.0,3,4
9,0.30952380952380953,No,Travel_Rarely,Research & Development,0.0,3,Life Sciences,Male,3,Laboratory Technician,Married,0.06645478185495522,0.0,0.7142857142857143,0,0.35714285714285715,0.5,0.5,1.0,0.5714285714285714,2.0,4.0,3.0,3,4
10,0.16666666666666666,No,Non-Travel,Research & Development,0.21428571428571427,4,Medical,Female,4,Laboratory Technician,Divorced,0.799704645413978,0.125,0.14285714285714285,1,0.21428571428571427,0.5,0.3333333333333333,0.14285714285714285,0.35714285714285715,2.0,1.0,3.0,3,3
11,0.6428571428571429,No,Travel_Rarely,Research & Development,0.5714285714285714,2,Medical,Male,2,Laboratory Technician,Married,0.44829689556647084,0.0,0.14285714285714285,2,0.75,0.5,1.0,0.5714285714285714,0.7142857142857143,3.0,4.0,3.0,2,3
12,0.42857142857142855,No,Travel_Rarely,Research & Development,0.9642857142857143,1,Life Sciences,Male,1,Laboratory Technician,Married,0.1520434042826415,0.0,0.07142857142857142,2,0.5714285714285714,0.5,0.8333333333333334,1.0,0.7857142857142857,,4.0,3.0,3,3
13,0.8809523809523809,No,Travel_Rarely,Research & Development,0.4642857142857143,4,Life Sciences,Female,1,Sales Executive,Single,0.29079585219429194,0.0,0.42857142857142855,0,1.0,0.5,1.0,0.5714285714285714,0.9285714285714286,4.0,1.0,3.0,3,3
14,0.6904761904761905,Yes,Non-Travel,Research & Development,0.0,1,Medical,Male,1,Research Scientist,Married,0.3051783363831905,0.125,0.0,2,0.35714285714285715,1.0,0.5555555555555556,1.0,0.6428571428571429,1.0,2.0,2.0,2,3
15,0.23809523809523808,No,Travel_Rarely,Research & Development,0.0,3,Life Sciences,Male,1,Manufacturing Director,Married,0.10164050210279624,0.125,0.21428571428571427,0,0.17857142857142858,0.5,0.2777777777777778,0.0,0.2857142857142857,4.0,4.0,2.0,3,3
16,0.4523809523809524,No,Travel_Rarely,Research & Development,0.0,3,Life Sciences,Male,2,Healthcare Representative,Married,0.2784680086038075,0.5,0.0,0,0.25,0.5,0.2777777777777778,0.0,0.07142857142857142,3.0,4.0,4.0,3,3
17,0.07142857142857142,No,Travel_Rarely,Research & Development,0.07142857142857142,2,Life Sciences,Male,1,Laboratory Technician,Single,0.20572088991620918,0.125,0.07142857142857142,3,0.10714285714285714,0.75,0.16666666666666666,0.14285714285714285,0.0,4.0,3.0,4.0,2,3
18,0.4523809523809524,No,Non-Travel,Research & Development,0.0,3,Medical,Male,2,Sales Executive,Divorced,0.20019904330797136,0.25,0.14285714285714285,1,0.5357142857142857,0.5,0.2777777777777778,0.0,0.14285714285714285,1.0,4.0,3.0,3,3
19,0.40476190476190477,No,Travel_Rarely,Sales,0.21428571428571427,4,Life Sciences,Male,1,Sales Representative,Divorced,0.0917525442229285,0.875,0.35714285714285715,0,0.35714285714285715,1.0,0.3888888888888889,0.8571428571428571,0.14285714285714285,2.0,2.0,2.0,2,3
20,0.47619047619047616,No,Travel_Rarely,Research & Development,0.25,3,Life Sciences,Female,1,Manager,Divorced,0.3763202671032778,0.125,0.0,1,0.2857142857142857,1.0,0.4444444444444444,1.0,0.5,1.0,1.0,3.0,3,3
21,0.19047619047619047,No,Travel_Frequently,Research & Development,0.0,4,Other,Male,2,Laboratory Technician,Divorced,0.6059905614947511,0.125,0.5,0,0.21428571428571427,0.75,0.3333333333333333,0.14285714285714285,0.2857142857142857,3.0,2.0,1.0,3,3
22,0.7619047619047619,No,Travel_Rarely,Sales,0.25,4,Life Sciences,Male,1,Research Scientist,Divorced,0.5559086969084079,0.375,0.8571428571428571,0,1.0,0.5,0.5555555555555556,0.14285714285714285,0.42857142857142855,1.0,2.0,2.0,2,4
23,0.8333333333333334,No,Travel_Rarely,Research & Development,0.35714285714285715,4,Life Sciences,Female,2,Research Scientist,Married,0.07313236379980095,0.375,0.0,0,0.75,0.5,0.2777777777777778,0.14285714285714285,0.21428571428571427,3.0,3.0,2.0,3,3
24,0.5714285714285714,No,Travel_Rarely,Research & Development,0.10714285714285714,4,Life Sciences,Male,1,Manufacturing Director,Married,0.508330925551382,0.125,0.21428571428571427,0,,1.0,1.0,1.0,0.42857142857142855,2.0,3.0,3.0,1,3
25,0.2619047619047619,No,Travel_Frequently,Research & Development,0.5357142857142857,4,Medical,Male,1,Laboratory Technician,Single,0.3533981829272208,0.125,0.0,1,0.35714285714285715,0.5,0.5555555555555556,0.0,0.6428571428571429,2.0,4.0,2.0,3,3
26,0.8809523809523809,No,Travel_Rarely,Research & Development,0.0,4,Other,Female,1,Research Scientist,Married,0.37176153327554656,0.375,0.0,0,0.42857142857142855,0.5,0.5555555555555556,0.0,0.5714285714285714,2.0,4.0,3.0,3,3
27,0.19047619047619047,No,Travel_Frequently,Research & Development,0.2857142857142857,3,Life Sciences,Female,1,Manager,Married,0.9812193007801213,0.125,0.7857142857142857,0,0.17857142857142858,0.75,0.2777777777777778,0.42857142857142855,0.21428571428571427,1.0,1.0,3.0,3,4
28,0.4523809523809524,No,Travel_Rarely,Sales,0.14285714285714285,1,Marketing,Male,1,Research Scientist,Single,0.10889595171594593,0.125,0.0,0,0.6071428571428571,0.5,0.9444444444444444,0.7142857142857143,0.5,4.0,4.0,3.0,3,3
29,0.6190476190476191,Yes,Travel_Frequently,Research & Development,0.0,2,Medical,Male,2,Research Scientist,Divorced,0.5986709043629009,0.375,0.21428571428571427,1,0.6785714285714286,0.5,0.05555555555555555,0.0,0.0,4.0,3.0,1.0,2,3
30,0.47619047619047616,No,Travel_Rarely,Sales,0.03571428571428571,3,Marketing,Female,1,Manager,Divorced,0.22080965681081255,1.0,0.07142857142857142,0,0.35714285714285715,0.75,0.1111111111111111,0.14285714285714285,0.14285714285714285,4.0,4.0,3.0,2,3
31,0.19047619047619047,Yes,Travel_Rarely,Research & Development,0.10714285714285714,3,Medical,Male,3,Research Scientist,Divorced,0.37529294680407077,0.25,0.0,0,0.17857142857142858,1.0,0.16666666666666666,0.0,0.14285714285714285,1.0,2.0,3.0,2,3
32,0.23809523809523808,No,Travel_Rarely,Research & Development,0.21428571428571427,3,Other,Male,1,Human Resources,Single,0.5539824713473948,0.125,0.14285714285714285,0,0.17857142857142858,1.0,0.2777777777777778,0.0,0.14285714285714285,4.0,4.0,3.0,2,3
33,0.7380952380952381,No,Travel_Frequently,Research & Development,0.0,1,Medical,Female,2,Research Scientist,Single,0.16578381328453562,1.0,0.14285714285714285,0,0.7857142857142857,0.5,0.16666666666666666,0.14285714285714285,0.14285714285714285,3.0,1.0,3.0,3,3
34,0.42857142857142855,No,Travel_Rarely,Sales,0.14285714285714285,3,Technical Degree,Male,3,Sales Executive,Single,0.28225625220713346,0.5,0.21428571428571427,0,0.35714285714285715,0.5,0.4444444444444444,1.0,0.5,3.0,2.0,3.0,3,3
35,0.30952380952380953,No,Travel_Frequently,Research & Development,0.2857142857142857,4,Medical,Male,1,Sales Executive,Divorced,0.23596263122411634,0.125,0.35714285714285715,1,0.07142857142857142,1.0,0.1111111111111111,0.2857142857142857,0.14285714285714285,4.0,2.0,2.0,3,3
36,0.19047619047619047,Yes,Travel_Rarely,Research & Development,0.25,3,Medical,Male,2,Manager,Single,0.9488587113550997,0.125,0.07142857142857142,2,0.2857142857142857,1.0,0.4444444444444444,1.0,0.2857142857142857,4.0,4.0,3.0,3,3
37,0.4523809523809524,No,Travel_Frequently,Sales,0.2857142857142857,1,Marketing,Male,1,Laboratory Technician,Married,0.03242479694372211,0.125,0.21428571428571427,0,0.14285714285714285,0.75,0.2222222222222222,0.14285714285714285,0.14285714285714285,2.0,4.0,2.0,3,3
38,0.5714285714285714,No,Travel_Frequently,Sales,0.03571428571428571,2,Marketing,Male,3,Research Director,Married,0.12501203890975635,0.625,0.14285714285714285,0,0.8214285714285714,0.5,1.0,0.5714285714285714,0.5714285714285714,3.0,2.0,4.0,3,3
39,0.0,Yes,Travel_Rarely,Research & Development,0.0,4,Life Sciences,Male,1,Sales Executive,Single,0.08513916979678321,0.125,0.21428571428571427,2,0.0,0.75,0.0,0.0,0.0,3.0,3.0,3.0,2,3
40,0.40476190476190477,No,Travel_Rarely,Sales,0.6785714285714286,2,Life Sciences,Male,1,Laboratory Technician,Married,0.26614016501332305,0.0,0.5714285714285714,0,0.42857142857142855,0.5,0.6111111111111112,0.8571428571428571,0.6428571428571429,3.0,2.0,2.0,2,3
41,0.42857142857142855,No,Travel_Frequently,Research & Development,0.25,3,Other,Female,3,Sales Executive,Married,0.3822273588237183,0.5,0.07142857142857142,2,0.14285714285714285,0.5,0.05555555555555555,0.0,0.0,3.0,,3.0,2,3
42,0.7857142857142857,No,Travel_Rarely,Research & Development,0.03571428571428571,3,Life Sciences,Male,2,Laboratory Technician,Divorced,0.29959228225625223,0.625,0.14285714285714285,0,0.4642857142857143,0.5,0.2222222222222222,0.14285714285714285,0.14285714285714285,4.0,2.0,3.0,2,3
43,0.5476190476190477,No,Travel_Rarely,Research & Development,1.0,1,Life Sciences,Male,1,Laboratory Technician,Single,0.08796430061960256,0.125,0.07142857142857142,0,0.7857142857142857,1.0,1.0,0.0,0.2857142857142857,4.0,2.0,3.0,3,3
44,0.0,No,Travel_Rarely,Sales,0.21428571428571427,3,Life Sciences,Male,1,Research Scientist,Single,0.17997367491733282,0.125,0.2857142857142857,0,0.0,0.75,0.0,0.0,0.0,4.0,3.0,3.0,3,3
45,0.23809523809523808,No,Travel_Rarely,Research & Development,0.2857142857142857,3,Medical,Male,1,Sales Representative,Single,0.23365116055090052,0.0,0.8571428571428571,2,0.32142857142857145,0.5,0.4444444444444444,0.0,0.5,2.0,1.0,3.0,2,4
46,0.30952380952380953,No,Travel_Rarely,Research & Development,0.25,1,Technical Degree,Male,1,Manufacturing Director,Married,0.12372788853574754,0.5,0.07142857142857142,1,0.35714285714285715,0.5,0.4444444444444444,1.0,0.5,2.0,4.0,2.0,3,3
47,0.5,No,Travel_Rarely,Sales,0.14285714285714285,4,Marketing,Female,2,Human Resources,Divorced,0.07037144049568204,0.0,0.6428571428571429,0,0.6785714285714286,0.75,1.0,0.42857142857142855,0.5,3.0,4.0,2.0,3,4
48,0.42857142857142855,No,Non-Travel,Research & Development,0.14285714285714285,4,Life Sciences,Male,1,Sales Executive,Married,0.485986709043629,0.875,0.7142857142857143,0,0.39285714285714285,1.0,0.5,0.0,0.5714285714285714,2.0,2.0,3.0,3,4
49,0.3333333333333333,No,Travel_Rarely,Sales,0.03571428571428571,3,Marketing,Male,2,Laboratory Technician,Married,0.10896015923464637,0.125,0.7142857142857143,1,0.4642857142857143,1.0,0.7222222222222222,0.5714285714285714,0.5714285714285714,4.0,3.0,2.0,3,4
50,0.47619047619047616,No,Travel_Rarely,Research & Development,0.14285714285714285,2,Life Sciences,Female,3,Research Scientist,Married,0.34511541301486404,0.375,0.5714285714285714,2,0.6785714285714286,1.0,0.5555555555555556,0.0,0.07142857142857142,1.0,2.0,3.0,2,3
51,0.9523809523809523,No,Non-Travel,Research & Development,0.03571428571428571,3,Life Sciences,Male,2,Manufacturing Director,Divorced,0.18999004783460144,0.25,0.14285714285714285,2,0.42857142857142855,0.75,0.2777777777777778,0.14285714285714285,0.14285714285714285,4.0,3.0,3.0,2,3
52,0.30952380952380953,No,Travel_Rarely,Research & Development,0.6785714285714286,1,Technical Degree,Female,3,Research Scientist,Married,0.5713185013965135,0.0,0.14285714285714285,1,0.21428571428571427,0.75,0.2777777777777778,0.0,0.21428571428571427,3.0,4.0,3.0,2,3
53,0.30952380952380953,No,Travel_Rarely,Sales,0.21428571428571427,4,Marketing,Male,2,Sales Executive,Married,0.7843590484445728,0.375,0.7142857142857143,1,0.32142857142857145,0.5,0.1111111111111111,0.14285714285714285,0.0,1.0,1.0,3.0,3,4
54,0.6428571428571429,No,Travel_Frequently,Research & Development,0.07142857142857142,1,Medical,Female,1,Sales Executive,Divorced,0.1625092298308132,0.125,0.14285714285714285,0,0.8571428571428571,1.0,1.0,1.0,0.7857142857142857,1.0,1.0,3.0,3,3
55,0.30952380952380953,No,Travel_Rarely,Sales,0.5357142857142857,4,Marketing,Female,2,Research Scientist,Divorced,0.11525249606728948,0.0,0.5714285714285714,2,0.10714285714285714,0.0,0.1111111111111111,0.2857142857142857,0.14285714285714285,3.0,4.0,1.0,3,3
56,0.35714285714285715,No,Travel_Frequently,Research & Development,0.2857142857142857,3,Life Sciences,Male,4,Research Director,Married,1.0,0.75,0.07142857142857142,1,0.42857142857142855,0.75,0.5555555555555556,1.0,0.5714285714285714,4.0,2.0,3.0,3,3
57,0.5,No,Travel_Rarely,Sales,0.0,4,Life Sciences,Male,1,Sales Executive,Married,1.0,0.125,0.7857142857142857,1,0.75,1.0,1.0,1.0,0.7142857142857143,3.0,1.0,3.0,3,4
58,0.5952380952380952,No,Travel_Frequently,Research & Development,0.21428571428571427,4,Medical,Male,4,Research Scientist,Single,0.09181675174162894,0.0,0.2857142857142857,0,0.32142857142857145,0.5,0.4444444444444444,0.14285714285714285,0.5,3.0,4.0,3.0,3,3
59,0.7380952380952381,No,Travel_Rarely,Research & Development,0.0,3,Life Sciences,Male,3,Manufacturing Director,Single,0.4048284054062731,0.875,0.7857142857142857,0,0.8928571428571429,0.5,0.3888888888888889,0.0,0.5,3.0,3.0,3.0,3,4
60,0.8095238095238095,Yes,Travel_Rarely,Research & Development,0.21428571428571427,1,Life Sciences,Female,2,Research Scientist,Married,0.24174130790715592,0.25,0.5,1,0.39285714285714285,0.5,0.4444444444444444,1.0,0.5,3.0,2.0,2.0,3,3
61,0.21428571428571427,No,Travel_Rarely,Research & Development,0.5,4,Medical,Male,3,Research Scientist,Single,0.1857523516003724,0.125,0.7857142857142857,0,0.14285714285714285,0.5,0.2222222222222222,0.14285714285714285,0.14285714285714285,3.0,2.0,2.0,3,4
62,0.3333333333333333,No,Travel_Rarely,Research & Development,0.0,3,Life Sciences,Male,3,Research Scientist,Married,0.10613502841182702,0.125,0.0,1,0.4642857142857143,1.0,0.7222222222222222,1.0,0.6428571428571429,3.0,2.0,3.0,4,3
63,0.21428571428571427,No,Travel_Rarely,Research & Development,0.42857142857142855,2,Medical,Female,4,Research Director,Single,0.11859128703971235,0.125,0.07142857142857142,2,0.17857142857142858,1.0,0.2777777777777778,0.0,0.2857142857142857,4.0,3.0,3.0,4,3
64,0.30952380952380953,No,Travel_Rarely,Sales,0.8214285714285714,3,Life Sciences,Male,2,Healthcare Representative,Divorced,0.004622941346431667,0.5,0.0,3,0.4642857142857143,1.0,0.3888888888888889,0.14285714285714285,0.5,4.0,4.0,3.0,4,3
65,0.3333333333333333,No,Travel_Rarely,Research & Development,0.21428571428571427,3,Technical Degree,Male,2,Healthcare Representative,Single,0.09393559985874346,0.875,0.14285714285714285,0,0.35714285714285715,0.5,0.3888888888888889,0.0,0.5,1.0,4.0,2.0,3,3
66,0.23809523809523808,Yes,Travel_Rarely,Research & Development,0.2857142857142857,4,Medical,Male,1,Sales Executive,Married,0.2994638672188513,0.625,0.21428571428571427,1,0.17857142857142858,1.0,0.16666666666666666,0.2857142857142857,0.14285714285714285,1.0,4.0,2.0,2,3
